name	category	time	price 
Reading	Simple everyday hobby	medium 	medium
Photography	Simple everyday hobby	medium	medium
Computer games	Simple everyday hobby	lot	high 
Playing a musical instrument	Simple everyday hobby	lot	high 
Coloring books	Simple everyday hobby	medium	medium
Watching movies or tv shows	Simple everyday hobby	medium	low
Writing letters	Simple everyday hobby	little	low
Listening to music	Simple everyday hobby	little	low
Listening to podcasts	Simple everyday hobby	little	low
Listening to audiobooks	Simple everyday hobby	little	low
Walking	Simple everyday hobby	medium	low
Singing	Simple everyday hobby	medium	low
